County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
St. Lawrence,89,2017,13660,14,14,0,0,0,0,0,0,"(44.749316, -75.132378)","(44.488113, -75.074311)"
Clinton,19,2014,12992,53,53,0,0,0,0,0,0,"(44.78096, -73.505322)","(44.75271, -73.705648)"
Jefferson,45,2007,13650,10,10,0,0,0,0,0,0,"(43.849649, -76.228306)","(44.0607, -75.9928)"
St. Lawrence,89,2000,13676,6,NA,NA,NA,NA,NA,NA,NA,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Essex,31,2004,12946,12,NA,NA,0,0,0,0,0,"(44.281966, -73.988816)","(44.108971, -73.777573)"
Jefferson,45,2019,13685,19,19,0,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
Lewis,49,2006,13327,13,NA,NA,0,0,0,0,0,"(43.899822, -75.381978)","(43.786397, -75.442617)"
Clinton,19,2002,12935,9,NA,NA,0,0,0,0,0,"(44.9268, -73.80012)","(44.75271, -73.705648)"
Essex,31,2012,12996,6,6,0,0,0,0,0,0,"(44.37414, -73.4172)","(44.108971, -73.777573)"
Jefferson,45,2017,13616,32,31,0,NA,NA,NA,NA,NA,"(44.02437, -75.858123)","(44.0607, -75.9928)"
Franklin,33,2005,12957,15,NA,NA,0,0,0,0,0,"(44.86812, -74.56398)","(44.594374, -74.31067)"
Herkimer,43,2011,13439,8,NA,NA,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
St. Lawrence,89,2018,13654,12,12,0,0,0,0,0,0,"(44.5821, -75.44016)","(44.488113, -75.074311)"
Essex,31,2005,12912,6,NA,NA,0,0,0,0,0,"(44.459424, -73.713927)","(44.108971, -73.777573)"
St. Lawrence,89,2014,13654,16,NA,NA,0,0,0,0,0,"(44.5821, -75.44016)","(44.488113, -75.074311)"
Jefferson,45,2007,13607,8,NA,NA,0,0,0,0,0,"(44.331922, -75.917693)","(44.0607, -75.9928)"
Herkimer,43,2019,13416,24,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Warren,113,2019,12804,211,NA,NA,0,0,0,0,0,"(43.37136, -73.6761)","(43.555105, -73.838139)"
Clinton,19,2002,12981,25,NA,NA,NA,NA,NA,NA,NA,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Jefferson,45,2016,13682,18,NA,NA,0,0,0,0,0,"(43.847382, -75.859853)","(44.0607, -75.9928)"
